;dual pi;dual sigma;optimal sets;val
0;[0. 0. 0.];151.0822510822511;{0: ((0, 0, 0, 1, 0, 0), 300.0)};45324.67532467533
0;[388.81198884   0.           0.        ];151.0822510822511;{0: ((0, 0, 0, 1, 0, 0), 106.05304212168488), 1: ((1, 1, 1, 1, 1, 1), 193.94695787831512)};56989.03498997103
0;[197.99718712   0.           0.        ];180.59776457272213;{1: ((1, 1, 1, 1, 1, 1), 193.94695787831512), 2: ((0, 0, 1, 1, 1, 1), 106.05304212168488)};60119.24498541911
0;[6.80600642 0.         0.        ];210.17149691496715;{1: ((1, 1, 1, 1, 1, 1), 42.19244483579326), 3: ((0, 1, 1, 1, 1, 1), 257.80755516420675)};63255.629267206656
